-ilities|developmental, operational, and support requirements a program addresses (ISO/IEC/IEEE 24765l:2024)|
decomposer|component that deconstructs the high-level keywords across all levels into a sequence of low-level keywords that eventually comprise it|ISO/IEC/IEEE 29119-5:2024 Software and systems engineering--Software testing-- Part 5: Keyword-driven testing, 3.4
decomposition|method used for dividing and subdividing the project scope and project deliverables into smaller, more manageable parts (A Guide to the Project Management Body of Knowledge (PMBOK(R) Guide) -- Seventh Edition)|
decomposition|the partitioning of a modeled function into its component functions|ISO/IEC/IEEE 24765m:2024, 2.1.35
decomposition|specification of a given object as a composition|ISO/IEC 10746-2:2009 Information technology -- Open Distributed Processing -- Reference Model: Foundations, 9.3.a
decomposition|specification of a given behavior as a composition (ISO/IEC 10746-2:2009 Information technology -- Open Distributed Processing -- Reference Model: Foundations, 9.3.b)|
decomposition diagram|diagram that details its parent box|ISO/IEC/IEEE 24765m:2024, 2.1.36
decoupling|making software modules more independent of one another to decrease the impact of changes to, and errors in, the individual modules (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
deep learning|approach to creating rich hierarchical representations through the training of neural networks with one or more hidden layers (ISO/IEC TR 29119-11:2020, Software and systems engineering--Software testing--Part 11: Guidelines on the testing of AI-based systems, 3.1.26)|
deep neural net|neural network with more than two layers (ISO/IEC TR 29119-11:2020, Software and systems engineering--Software testing--Part 11: Guidelines on the testing of AI-based systems, 3.1.27)|
defect|imperfection or deficiency in a work product or characteristic that does not meet its requirements or specifications|IEEE 2675-2021, IEEE Standard for DevOps: Building Reliable and Secure Systems Including Application Build, Package, and Deployment, 3.1
defect|fault or deviation from the intended level of performance of a system or software|ISO/IEC 23643:2020, Software and systems engineering--Capabilities of software safety and security verification tools, 3.4
defect|imperfection or deficiency in a work product where that work product does not meet its requirements or specifications and needs to be either repaired or replaced (ISO/IEC 23531:2020, Systems and software engineering--Capabilities of issue management tools, 3.1)|
defect density|number of defects per unit of product size|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
defensive programming|a general approach to programming that assumes that errors will occur during both initial development and maintenance and, as a result, creates code in such a way that the program still operates properly when errors occur|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
defined process|implemented process that is managed and tailored from the organization's set of standard processes according to the organization's tailoring guidelines (ISO/IEC 33001:2015 Information technology--Process assessment--Concepts and terminology, 3.4.2)|
definition-use pair|data definition and subsequent predicate or computational data use, where the data use uses the value defined in the data definition (ISO/IEC/IEEE 29119-4:2021 Software and systems engineering -- Software testing -- Part 4: Test techniques, 3.26)|
definition-use path|data definition and subsequent predicate or computational data use, where the data use uses the value defined in the data definition|ISO/IEC/IEEE 29119-4:2021 Software and systems engineering -- Software testing -- Part 4: Test techniques, 4.16
definitive software library (DSL)|secure storage environment, formed of physical media or of one or more electronic software repositories, capable of control and protection of definitive authorized versions of all software configuration items and masters of all software controlled by SAM|ISO/IEC 19770-5:2015 Information technology--IT asset management--Overview and vocabulary, 3.11
degree of influence (DI)|a numerical indicator of the impact of each of the 19 (or more) technical complexity adjustment factors, ranging from 0 (no influence) to 5 (strong influence, throughout) (ISO/IEC 20968:2002 Software engineering -- Mk II Function Point Analysis -- Counting Practices Manual, 10)|
delegation|action that assigns something, such as authorization, responsibility or provision of a service, to another object (ISO/IEC 15414:2015 Information technology -- Open distributed processing -- Reference model -- Enterprise language, 6.6.6)|
deleted source statement|source statement that is removed or modified from an existing software product as a new product is constructed|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
deletion|of an &lt;X&gt;, the action of destroying an instantiated &lt;X&gt;|ISO/IEC 10746-2:2009 Information technology -- Open Distributed Processing -- Reference Model: Foundations, 9.20
delimiter|character or set of characters used to denote the beginning or end of a group of related bits, characters, words, or statements|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
deliver primitive|service primitive for which the protocol object is the responding object of the corresponding communication|ISO/IEC 14752:2000 Information technology -- Open Distributed Processing -- Protocol support for computational interactions, 3.3.6
deliverable|any unique and verifiable product, result, or capability to perform a service that must be produced to complete a process, phase, or project (A Guide to the Project Management Body of Knowledge (PMBOK(R) Guide) -- Seventh Edition)|
deliverable|item to be provided to an acquirer or other designated recipient as specified in an agreement (IEEE 730-2014 IEEE Standard for Software Quality Assurance Processes, 3.2)|
deliverable product|unique and verifiable system or software product to perform a service, that is subject to approval by the project sponsor or customer (ISO/IEC 25041: 2012 Systems and software engineering--Systems and software Quality Requirements and Evaluation (SQuaRE)--Evaluation guide for developers, acquirers and independent evaluators, 4.1)|
delivered source statement|source statement that is incorporated into the product delivered to the customer|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
delivery|release of a system or component to its customer or intended user (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
delivery performance domain|performance domain that addresses activities and functions associated with delivering the scope and quality that the project was undertaken to achieve (A Guide to the Project Management Body of Knowledge (PMBOK(R) Guide) -- Seventh Edition)|
Delphi method|information-gathering technique used as a way to reach consensus of experts on a subject (ISO/IEC TR 7052:2023, Software engineering--Controlling frequently occurring risks during development and maintenance of custom software, 3.16)|
delphi technique|information-gathering technique used as a way to reach a consensus of experts on a subject (ISO/IEC/IEEE 24765h:2019)|
delta|difference between two versions|ISO/IEC TR 18018:2010 Information technology--Systems and software engineering--Guide for configuration management tool capabilities, 3.11
demand paging|storage allocation technique in which pages are transferred from auxiliary storage to main storage only when those pages are needed (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
DEMIL|demilitarization|ISO/IEC/IEEE 24748-7:2019, Systems and software engineering Life cycle management Part 7: Application of systems engineering on defense programs, 3.2
demodularization|in software design, combining related software modules, usually to optimize system performance (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
demonstration|dynamic analysis technique that relies on observation of system or component behavior during execution, without need for post-execution analysis, to detect errors, violations of development standards, and other problems (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
dependability|extent to which measured values of reliability, availability, recoverability, and supportability meet or exceed their required thresholds during an in-service interval|IEEE 982:2024, Standard for Measures of the Software Aspects of Dependability, 3.1
dependability|of an item, ability to perform as and when required|ISO/IEC/IEEE 15026-1:2019 Systems and software engineering--Systems and software assurance--Part 1: Concepts and vocabulary, 3.1.7
dependability|ability of a system to perform as and when required (IEEE 7000:2021, IEEE Standard Model Process for Addressing Ethical Concerns during System Design, 3.1)|
dependability measurement|data collection and processing to produce values for reliability, availability, supportability, or recoverability of a system|IEEE 982:2024, Standard for Measures of the Software Aspects of Dependability, 3.1
dependability requirement|requirement statement that specifies a bounded threshold for one or more parameters of reliability, availability, supportability, or recoverability for a system (IEEE 982:2024, Standard for Measures of the Software Aspects of Dependability, 3.1)|
dependency export|operation in which a component and all of its dependencies are exported from the CCMS as a single process|ISO/IEC/IEEE 26531:2023 Systems and software engineering -- Content management for product lifecycle, user and service management information for users, 3.1.10
dependent entity|entity for which the unique identification of an instance depends upon its relationship to another entity (ISO/IEC/IEEE 24765n:2025, 3.1.46)|
dependent state class|class whose instances are, by their very nature, intrinsically related to certain other state class instances (ISO/IEC/IEEE 24765n:2025, 3.1.47)|
deployment|stage of a project in which a system is put into operation and transition issues are resolved|IEEE 2675-2021, IEEE Standard for DevOps: Building Reliable and Secure Systems Including Application Build, Package, and Deployment, 3.1
deployment|[of requirements] assignment of requirements along with the system decomposition (ISO/IEC 25030:2019 Systems and software engineering--Systems and software quality requirements and evaluation (SQuaRE)-- Quality requirements framework, 3.3)|
deployment package|set of artifacts developed to facilitate the implementation of a set of practices of the selected framework in a very small entity (ISO/IEC 29110-1-2:2024, Systems and software engineering Lifecycle profiles for Very Small Entities (VSEs) Part 1-2: Vocabulary, 3.35)|
derivation of requirements|translation and elaboration of requirements from one type of requirements to another in the same system level (ISO/IEC 25030:2019 Systems and software engineering--Systems and software quality requirements and evaluation (SQuaRE)--Quality requirements framework, 3.4)|
derived class|relation between a template class CA of instances of A, and template class CB of instances of B, where template A is an incremental modification of template B (ISO/IEC 10746-2:2009 Information technology -- Open Distributed Processing -- Reference Model: Foundations, 9.24)|
derived data|data created as a result of processing that involves steps other than or in addition to direct retrieval and validation of information from data functions|ISO/IEC 20926:2009 Software and systems engineering -- Software measurement -- IFPUG functional size measurement method 2009, 3.17
derived measure|measure that is defined as a function of two or more values of base measures (ISO/IEC/IEEE 15939:2017 Systems and software engineering--Measurement process, 3.8)|
derived property|designation given to a property whose value is determined by computation (ISO/IEC/IEEE 24765n:2025, 3.1.50)|
derived requirement|requirement deduced or inferred from the collection and organization of requirements into a particular system configuration and solution|ISO/IEC/IEEE 29148:2018 Systems and software engineering-Life cycle processes-Requirements engineering, 4.1.8
derived requirement|a requirement deduced or inferred from the collection and organization of requirements into a particular system configuration and solution|
derived type|data type whose members and operations are taken from those of another data type according to some specified rule (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
descendent box|box in a descendent diagram|ISO/IEC/IEEE 24765m:2024, 2.1.37
descendent diagram|decomposition diagram related to a specific box by a hierarchically consecutive sequence of one or more child/parent relationships|ISO/IEC/IEEE 24765m:2024, 2.1.38
description|information item that represents a planned or actual concept, function, design, or object (ISO/IEC/IEEE 15289:2019 Systems and software engineering--Content of life-cycle information items (documentation), 5.8)|
description standard|standard that describes the characteristics of product information or procedures provided to help understand, test, install, operate, or maintain the product|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
descriptive model|model that shows an interconnected set of model elements which represent key system aspects including its structure, behavior, parameters, and requirements|ISO/IEC/IEEE 24641:2023. Systems and Software engineering--Methods and tools for model-based systems and software engineering, 3.1.6
design|specification of system elements and their relationships, that is sufficiently complete to support a compliant implementation of the architecture (ISO/IEC/IEEE 12207:2026 Systems and software engineering--Software life cycle processes, 3.1.20)|ISO/IEC/IEEE 15288:2023 Systems and software engineering--System life cycle processes, 3.13
design|stage of information development that is concerned with determining what information for users is to be provided in a product and what is the nature of that information|ISO/IEC/IEEE 26514:2022, Systems and software engineering -- Design and development of information for users, 3.1.17
design|stage of documentation development that is concerned with determining what documentation will be provided in a product and what the nature of the documentation will be (ISO/IEC/IEEE 26512:2018 Systems and software engineering--Requirements for acquirers and suppliers of information for users, 3.8)|
design analyzer|automated design tool that accepts information about a program's design and produces such outputs as module hierarchy diagrams, graphical representations of control and data structure, and lists of accessed data|
design attribute|element of a design view that names a characteristic or property of a design entity, design relationship, or design constraint (ISO/IEC/IEEE 24765j:2021)|
design authority|person or organization that is responsible for the design of the product|ISO/IEC/IEEE 15026- 1:2019 Systems and software engineering--Systems and software assurance--Part 1: Concepts and vocabulary, 3.5.3
design characteristic|design attribute or distinguishing feature that pertains to a measurable description of a product or service (ISO/IEC/IEEE 12207:2026 Systems and software engineering--Software life cycle processes, 3.1.21)|ISO/IEC/IEEE 15288:2023 Systems and software engineering--System life cycle processes, 3.17
design concept|fundamental idea that can be applied to designing a system|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
design constraint|explicit and direct restriction regarding the choice of design ideas|IEEE 730-2014 IEEE Standard for Software Quality Assurance Processes, 3.2
design constraint|boundary condition, externally or internally imposed, for the system of interest, within which the organization remains when executing the processes during the concept and development stages (INCOSE Systems Engineering Handbook, 5th ed.)|
design description|model or information item that specifies the design of a system or component (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
design fault|design (specification, coding) fault that results from a human error during system design and that can result in a design failure|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
design language|specification language with special constructs and, sometimes, verification protocols, used to develop, analyze, and document a hardware or software design|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
design language|standardized notation, modeling technique, or other representation scheme and its usage conventions, shown to be effective in representing and communicating design information (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
design level|design decomposition of the configuration item (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
design methodology|systematic approach to creating a design consisting of the ordered application of a specific collection of tools, techniques, and guidelines|ISO/IEC/IEEE 24765:2017 Systems and software engineering- Vocabulary
design pattern|description of the problem and the essence of its solution to enable the solution to be reused in different settings (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
design phase|period in the software life cycle during which definitions for architecture, software components,|
design rationale|information capturing the reasoning of the designer that led to the system as designed, including design options, trade-offs considered, decisions made, and the justifications of those decisions|ISO/IEC/IEEE 24765j:2021
design requirement|requirement that specifies or constrains the design of a system or system component (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
design review|formal, documented, comprehensive, and systematic examination of a design to determine if the design meets the applicable requirements, to identify problems, and to propose solutions|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
design review|process or meeting during which a system, hardware, or software design is presented to project personnel, managers, users, customers, or other interested parties for comment or approval (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
design standard|standard that describes the characteristics of a design or a design description of data or program components|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
design strategy|overall plan and direction for performing design|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
design thinking|methodology for solving complex problems where these are defined from the human needs (ISO/IEC TR 7052:2023, Software engineering--Controlling frequently occurring risks during development and maintenance of custom software, 3.17)|
design unit|logically related collection of design elements|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
design view|representation comprised of one or more design elements to address a set of design concerns from a specified design viewpoint (ISO/IEC/IEEE 24765j:2021)|
design viewpoint|specification of the elements and conventions available for constructing and using a design view (ISO/IEC/IEEE 24765j:2021)|
design-to-cost|approach to managing a system or software project so as to hold the project to a predetermined cost (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
desirable consequence|consequence associated with a benefit or gain or avoiding an adverse consequence (ISO/IEC/IEEE 15026-1:2019 Systems and software engineering--Systems and software assurance--Part 1: Concepts and vocabulary, 3.4.4)|
desk checking|manual simulation of program execution to detect faults through step-by-step examination of the|
desktop publishing|electronic publishing using a microcomputer|ISO/IEC 2382:2015 Information technology -- Vocabulary
destination address|address of the device or storage location to which data is to be transferred (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
destructive read|read operation that alters the data in the accessed location (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
DET|data element type|ISO/IEC 20926:2009 Software and systems engineering -- Software measurement -- IFPUG functional size measurement method 2009, 4
DET|detection error trade-off|ISO/IEC TR 29119-13:2022, Software and systems engineering Software testing Part 13: Using the ISO/IEC/IEEE 29119 series in the testing of biometric systems, 3.1.16
detailed design|refinement and expansion of the preliminary design of a system or component to the extent that the design is sufficiently complete to be implemented (ISO/IEC/IEEE 24765:2017 Systems and software engineering- Vocabulary)|
detailed design description|document that describes the exact detailed configuration of a computer program (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
detailed design phase|software development lifecycle phase during which the detailed design process takes place, using the software system design and software architecture from the previous phase (architectural design) to produce the detailed logic for each unit such that it is ready for coding|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
detailed design review|milestone review to determine the acceptability of the detailed software design (as depicted in the detailed design description) to satisfy the requirements of the software requirements document|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
detection error trade-off|relationship between false-negative and false-positive errors of a binary classification system as the discrimination threshold varies (ISO/IEC TR 29119-13:2022, Software and systems engineering Software testing Part 13: Using the ISO/IEC/IEEE 29119 series in the testing of biometric systems, 3.1.16)|
deterministic system|system which, given a particular set of inputs and starting state, will always produce the same set of outputs and final state|ISO/IEC TR 29119-11:2020, Software and systems engineering--Software testing-- Part 11: Guidelines on the testing of AI-based systems, 3.1.28
developed source statement|source statement that is newly created for, added to, or modified for a software product|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
developer|individual or organization that performs development activities (including requirements analysis, design, testing through acceptance) during the system or software life-cycle process (ISO/IEC 25000:2014 Systems and software Engineering--Systems and software product Quality Requirements and Evaluation (SQuaRE) -- Guide to SQuaRE, 4.6)|
developer|an organization that develops software products|
developer|person who applies a methodology for some specific job, usually an endeavor|ISO/IEC 24744:2014 Software Engineering--Metamodel for development methodologies, 3.11
developer|entity responsible for development, deployment, or decommission of a system (IEEE 7014-2024, IEEE Standard for Ethical Considerations in Emulated Empathy in Autonomous and Intelligent Systems, 3.1)|
development|specification, construction, testing and delivery of a new application or of a discrete addition to an existing application|ISO/IEC 20968:2002 Software engineering -- Mk II Function Point Analysis -- Counting Practices Manual, 10
development|activity of preparing information for users after it has been designed|ISO/IEC/IEEE 26512:2018 Systems and software engineering--Requirements for acquirers and suppliers of information for users, 3.9
development approach|method used to create and evolve the product, service, or result during the project life cycle, such as predictive, adaptive, or a hybrid method (A Guide to the Project Management Body of Knowledge (PMBOK(R) Guide) -- Seventh Edition)|
development approach and life cycle performance domain|performance domain that addresses activities and functions associated with the development approach, cadence, and life cycle phases of the project (A Guide to the Project Management Body of Knowledge (PMBOK(R) Guide) -- Seventh Edition)|
development branch|branch where active product development takes place (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
development environment|hardware, software, platform and tools for designers and developers of computer solutions|ISO/IEC/IEEE 24765c:2014
development environment|workplace facility in which a system is developed and maintained (IEEE 982:2024, Standard for Measures of the Software Aspects of Dependability, 3.1)|
development pipeline|set of tools aimed at the managed and controlled build of a package with which an application can be taken into use (ISO/IEC TR 7052:2023, Software engineering--Controlling frequently occurring risks during development and maintenance of custom software, 3.19)|
development plan|plan for guiding, implementing, and controlling the design and development of one or more products or services (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
development project|project to develop and deliver the first release of a software application (ISO/IEC 20926:2009 Software and systems engineering -- Software measurement -- IFPUG functional size measurement method 2009, 3.18)|
development project function point count (DFP)|a count that measures the functionality provided to the end users with the first installation of the software, developed when the project is complete|ISO/IEC 20968:2002 Software engineering -- Mk II Function Point Analysis -- Counting Practices Manual, 10
development project function point count (DFP)|activity of applying ISO/IEC 20926:2009 to measure the functional size of a development project|ISO/IEC 20926:2009 Software and systems engineering -- Software measurement -- IFPUG functional size measurement method 2009, 3.20
development project functional size|measure of the functionality provided to the users with the first release of the software, as measured by the development project function point count (ISO/IEC 20926:2009 Software and systems engineering -- Software measurement -- IFPUG functional size measurement method 2009, 3.19)|
development team|team that develops or maintains software (ISO/IEC TR 7052:2023, Software engineering-- Controlling frequently occurring risks during development and maintenance of custom software, 3.20)|
development testing|formal or informal testing conducted during the development of a system or component, usually in the development environment by the developer|ISO/IEC/IEEE 24765:2017 Systems and software engineering- Vocabulary
development testing|testing conducted to establish whether a new software product or software-based system (or components of it) satisfies its criteria (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
development tool|hardware and software for developing or modifying applications|ISO/IEC/IEEE 24765c:2014
developmental baseline|specifications that are in effect at a given time for a system under development|ISO/IEC 2382:2015 Information technology -- Vocabulary
developmental configuration|in configuration management, the software and associated technical documentation that define the evolving configuration of a computer software configuration item during development (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
deviation|departure from a specified requirement|ISO/IEC/IEEE 24765:2017 Systems and software engineering- Vocabulary
deviation|written authorization, granted prior to the manufacture of an item, to depart from a particular performance or design requirement for a specific number of units or a specific period of time|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
device|mechanism or piece of equipment designed to serve a purpose or perform a function (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
device interface task|concurrent task that hides the characteristics of and interfaces to an external I/O device|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
DevOps|set of principles and practices which enable better communication and collaboration between relevant|
DF|data failure|IEEE 982:2024, Standard for Measures of the Software Aspects of Dependability, 3.2
DFD|data flow diagram|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
diagnostic|pertaining to the detection and isolation of faults or failures|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
diagnostic manual|document that presents the information necessary to execute diagnostic procedures for a system or component, identify malfunctions, and remedy those malfunctions (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
diagonal microinstruction|microinstruction capable of specifying a limited number of simultaneous operations needed to carry out a machine language instruction (ISO/IEC/IEEE 24765:2017 Systems and software engineering- Vocabulary)|
diagram|logically coherent fragment of a design view, using selected graphical icons and conventions for visual representation from an associated design language, to be used for representing selected design elements of interest for a system under design from a single viewpoint (diagram type)|
diagram boundary|edge of a diagram in a diagram page|ISO/IEC/IEEE 24765m:2024, 2.1.40
diagram feature|element of a diagram (ISO/IEC/IEEE 24765m:2024, 2.1.41)|
diagram number|that part of a diagram reference that corresponds to a diagram's parent function's node number (ISO/IEC/IEEE 24765m:2024, 2.1.43)|
diagram page|model page that contains a context diagram or a decomposition diagram|ISO/IEC/IEEE 24765m:2024, 2.1.44
diagram reference|expression that unambiguously identifies a diagram and specifies the diagram's position in a specific model hierarchy (ISO/IEC/IEEE 24765m:2024, 2.1.45)|
diagram title|verb or verb phrase that describes the overall function presented by a diagram (ISO/IEC/IEEE|
dialog|interaction between a user and an interactive system as a sequence of user actions (inputs) and system responses (outputs) in order to achieve a goal (ISO TR 25060:2023 Systems and software engineering--Systems and software Quality Requirements and Evaluation (SQuaRE)--General Framework for Common Industry Format (CIF) for usability-related information, 2.4)|
DIB|directory information base|ISO/IEC 13235-3:1998 Information technology -- Open Distributed Processing -- Trading Function -- Part 3: Provision of Trading Function using OSI Directory service, 4
differential cash flow|representation of the difference between cash flows of two alternatives or proposals (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
digit numeric character|character that represents a nonnegative integer (ISO/IEC 2382:2015 Information technology -- Vocabulary)|
digital|pertaining to data that consists of digits as well as to processes and functional units that use the data|ISO/IEC 2382:2015 Information technology -- Vocabulary
digital asset|IT asset expressed electronically in a digital format|ISO/IEC 19770-1:2017 Information technology -- IT asset management -- Part 1: IT asset management systems--Requirements, 3.17
digital computer|computer that is controlled by internally stored programs and that is capable of using common storage for all or part of a program and also for all or part of the data necessary for the execution of the programs; executing user-written or user-designated programs; performing user-designated manipulation of digitally represented discrete data, including arithmetic operations and logic operations; and executing programs that modify themselves during their execution|ISO/IEC 2382:2015 Information technology -- Vocabulary
digital information content asset|digital asset with information content (ISO/IEC 19770-1:2017 Information technology -- IT asset management -- Part 1: IT asset management systems--Requirements, 3.18)|
digital product|product or service that is delivered, used, and stored in an electronic format (A Guide to the Project Management Body of Knowledge (PMBOK(R) Guide) -- Seventh Edition)|
digital signal processing (DSP)|modification of an information signal represented by a sequence of digits or symbols to affect the representation of discrete time, discrete frequency, or other attributes|ISO/IEC/IEEE 24765d:2015
digital signal processor (DSP)|microprocessor designed to perform digital signal processing|ISO/IEC/IEEE 24765d:2015
DIKW|data, information, knowledge, wisdom|ISO/IEC/IEEE 24641:2023. Systems and Software engineering-- Methods and tools for model-based systems and software engineering, 3.2
dimension|distinct components that a multidimensional construct encompasses|ISO/IEC 33003:2015 Information technology--Process assessment--Requirements for process measurement frameworks, 3.6
DIP|dual inline package|ISO/IEC/IEEE 24765c:2014
direct address|address that identifies the storage location of an operand (ISO/IEC/IEEE 24765:2017 Systems|
direct instruction|computer instruction that contains the direct addresses of its operands (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
direct labor|personnel efforts that are directly related to the units of production (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
direct measure|measure of an attribute that does not depend upon a measure of any other attribute|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
direct memory access (DMA)|technique in which a peripheral takes direct control of a central processing unit's memory bus to transfer data to or from memory|ISO/IEC/IEEE 24765d:2015
direct memory access controller (DMAC)|functional unit that performs direct memory access|ISO/IEC/IEEE 24765d:2015
direct metric|metric that does not depend upon a measure of any other attribute|ISO/IEC/IEEE 24765l:2024
direct staff-hour|amount of effort directly expended in creating a specific output product|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
direct user|person who directly interacts with the product (ISO/IEC 25019:2023, Systems and software engineering Systems and software Quality Requirements and Evaluation (SQuaRE) Quality-in-use model, 3.1.14) (ISO/IEC 25002:2024, Systems and software engineering Systems and software Quality Requirements and Evaluation (SQuaRE) Quality model overview and usage, 3.1.8)|
directed graph|a graph (sense 2) in which direction is implied in the internode connections (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
directed system of systems|system of systems (SoS) created and managed to fulfill specific purposes and the constituent systems are subordinated to the SoS (ISO/IEC/IEEE 21841:2019 Systems and software engineering-- Taxonomy of systems of systems, 3.2.3)|
directory|list of data items and information about those data items|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
disassemble|to translate an assembled computer program from its machine language version into a form that resembles, but is not necessarily identical to, the original assembly language program (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
disassembler|software tool that disassembles computer programs|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
disaster recovery|in computer system operations, the return to normal operation after a hardware or software failure|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
disaster recovery|ability of the information and communications technology elements of an organization to support its critical business functions to an acceptable level within a predetermined period following a disaster (ISO/IEC/IEEE 26511:2018 Systems and software engineering--|
discipline-specific model|representation of a system or system elements from the perspective of a discipline addressing domain-specific concerns where the model elements come from a specific discipline|ISO/IEC/IEEE 24641:2023. Systems and Software engineering--Methods and tools for model-based systems and software engineering, 3.1.7
disclaimer|notice that renounces or repudiates a legal claim or right|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
discounted payback period|time it will take to recover a project's initial investment including interest (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
discrete|pertaining to data that consist of distinct elements, such as characters, or to physical quantities having a finite number of distinctly recognizable values, as well as to processes and functional units that use those data|ISO/IEC 2382:2015 Information technology -- Vocabulary
discrete data|data that arrives at specific time intervals|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
discrete effort|work effort that is separate, distinct, and related to the completion of specific work breakdown structure components and deliverables, and that can be directly planned and measured (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
discrete type|data type whose members can assume any of a set of distinct values (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
discretionary dependency|relationship that is based on best practices or project preferences (A Guide to the Project Management Body of Knowledge (PMBOK(R) Guide) -- Seventh Edition)|
discrimination (threshold)|largest change in a stimulus that produces no detectable change in the response of a measuring instrument, the change in the stimulus taking place slowly and monotonically (ISO/IEC TR 14143-3:2003 Information technology -- Software measurement -- Functional size measurement -- Part 3: Verification of functional size measurement methods, 3.4)|
discriminator|property of a superclass, associated with a cluster of that superclass, whose value identifies to which subclass a specific instance belongs|ISO/IEC/IEEE 24765n:2025, 3.1.51
discriminator|attribute in the generic entity (or a generic ancestor entity) of a category cluster whose values indicate which category entity in the category cluster contains a specific instance of the generic entity (ISO/IEC/IEEE 24765n:2025, 3.1.51)|
disk|data medium originally consisting of a flat circular plate that is rotated in order to read or write data on one or both sides|ISO/IEC 2382:2015 Information technology -- Vocabulary
display|information presented on a screen or in a window of a screen|ISO/IEC/IEEE 24765g:2018
disposal|removal or archiving, but not deletion, of an artifact so it can be made available for traceability and auditability|IEEE 2675-2021, IEEE Standard for DevOps: Building Reliable and Secure Systems Including Application Build, Package, and Deployment, 3.1
disposition|range of processes associated with implementing retention, destruction or transfer decisions which are documented in disposition or other instruments|ISO/IEC/IEEE 26511:2018 Systems and software engineering-- Requirements for managers of information for users of systems, software, and services, 3.1.12
distribute information|[Process] the process of making relevant information available (A Guide to the Project Management Body of Knowledge (PMBOK(R) Guide) -- Seventh Edition)|
