responsibility,purity,boundary,lifecycle,base_hadron,quark_parent,touchpoints,is_impossible,impossible_reason,visual_3d,emergence_rarity_2025,continente_cor,particula_fundamental,hadron_subtipo,forma_3d_base_variacao,exemplo_real_linguagem_neutro,regra_detecao
Project,Pure,Infrastructure,Immutable,ChaosMonkey,Execution,"deterministic,technical_details,thread_safe",False,,icosahedron_crystalline+frozen,7.3%,Execution,Executables,ChaosMonkey,icosahedron + monkey face,random failure injection,chaos library
Project,Pure,Adapter,Singleton,Integer,Data Foundations,"deterministic,shared_state",False,,icosahedron_crystalline+crown,62.4%,Data Foundations,Primitives,Integer,icosahedron + metallic,count: i64,integer type
Project,Pure,Adapter,Scoped,APIHandler,Execution,deterministic,False,,icosahedron_crystalline,63.5%,Execution,Executables,APIHandler,icosahedron + globe,"@app.get(""/users"")",route decorator
Project,Pure,Adapter,Transient,StaticField,Foundations,deterministic,False,,cylinder_crystalline,69.3%,Foundations,Variables,StaticField,cylinder + tall,Config.MAX_RETRIES,static/class field
Project,Pure,Adapter,Ephemeral,DependencyInjectionContainer,Execution,deterministic,False,,icosahedron_crystalline+fade,33.4%,Execution,Executables,DependencyInjectionContainer,icosahedron + syringe,services.AddSingleton<>,DI container registration
Project,Pure,Adapter,Immutable,ArithmeticExpr,Logic & Flow,"deterministic,thread_safe",False,,cone_crystalline+frozen,55.8%,Logic & Flow,Expressions,ArithmeticExpr,cone + orange glow,a + b * c,arithmetic ops
Project,Pure,Interface,Singleton,ReturnStmt,Logic & Flow,"deterministic,shared_state",False,,cube_crystalline+crown,31.6%,Logic & Flow,Statements,ReturnStmt,cube + arrow up,return result,return keyword
Project,Pure,Interface,Scoped,Closure,Logic & Flow,deterministic,False,,octahedron_crystalline,58.3%,Logic & Flow,Functions,Closure,octahedron + inner glow,items.map(x => x*2),captures outer scope
Project,Pure,Interface,Transient,EventHandler,Logic & Flow,deterministic,False,,octahedron_crystalline,69.6%,Logic & Flow,Functions,EventHandler,octahedron + pulse,@Subscribe(UserCreated),@On/@Subscribe decorator
Project,Pure,Interface,Ephemeral,ValueObject,Organization,"validation,deterministic,immutability,equality",False,,sphere_crystalline+fade,85.5%,Organization,Aggregates,ValueObject,sphere + crystalline,"Email, Money",immutable + equality by value
Project,Pure,Interface,Immutable,Boolean,Data Foundations,"deterministic,thread_safe",False,,icosahedron_crystalline+frozen,54.4%,Data Foundations,Primitives,Boolean,icosahedron + binary glow,is_active: bool,type bool
Project,Pure,Test,Singleton,CallExpr,Logic & Flow,"deterministic,shared_state",False,,cone_crystalline+crown,44.6%,Logic & Flow,Expressions,CallExpr,cone + arrow out,service.save(user),function call
Project,Pure,Test,Scoped,TestFile,Organization,deterministic,False,,cube_crystalline,66.7%,Organization,Files,TestFile,cube + check,user.test.ts,test/jest/spec
Project,Pure,Test,Transient,Actor,Execution,deterministic,False,,icosahedron_crystalline,45.5%,Execution,Executables,Actor,icosahedron + envelope,"class MyActor(Actor) (Akka, Orleans)",herda de Actor
Project,Pure,Test,Ephemeral,TryCatch,Logic & Flow,deterministic,False,,torus_crystalline+fade,61.0%,Logic & Flow,Control Structures,TryCatch,torus + shield,try { ... } catch,try/except
Project,Pure,Test,Immutable,MainEntry,Execution,"deterministic,thread_safe",False,,icosahedron_crystalline+frozen,57.2%,Execution,Executables,MainEntry,icosahedron + crown,"main(), if __name__",entry point
Project,Impure,Domain,Singleton,QueryHandler,Logic & Flow,"optimization,shared_state,business_rules,projection,read_access",False,,octahedron_crown,21.6%,Logic & Flow,Functions,QueryHandler,octahedron + blue ring,handle(GetUserQuery),name contains Handle + Query
Project,Impure,Domain,Scoped,GraphQLResolver,Execution,business_rules,False,,icosahedron,55.2%,Execution,Executables,GraphQLResolver,icosahedron + graph,Query: { user },GraphQL field
Project,Impure,Domain,Transient,LocalVar,Foundations,business_rules,False,,cylinder,43.4%,Foundations,Variables,LocalVar,cylinder + short,let total = 0;,local declaration
Project,Impure,Domain,Ephemeral,SourceFile,Organization,business_rules,False,,cube_fade,43.2%,Organization,Files,SourceFile,cube + language icon,user.py,.py/.ts/.java
Project,Impure,Domain,Immutable,ContainerEntry,Execution,"thread_safe,business_rules",False,,icosahedron_frozen,52.3%,Execution,Executables,ContainerEntry,icosahedron + docker logo overlay,"CMD [""node"",""app.js""] em Dockerfile",Dockerfile ENTRYPOINT/CMD
Project,Impure,Application,Singleton,DTO,Organization,shared_state,False,,sphere_crown,45.5%,Organization,Aggregates,DTO,sphere + flat,CreateUserRequest,"only data, no behavior"
Project,Impure,Application,Scoped,LiteralExpr,Logic & Flow,,False,,cone,40.1%,Logic & Flow,Expressions,LiteralExpr,cone + solid,"42, ""hello""",literal
Project,Impure,Application,Transient,ConfigLoader,Execution,,False,,icosahedron,64.1%,Execution,Executables,ConfigLoader,icosahedron + config gear,viper.ReadInConfig(),config load call
Project,Impure,Application,Ephemeral,CronJob,Execution,,False,,icosahedron_fade,68.6%,Execution,Executables,CronJob,icosahedron + clock ring,"schedule: ""0 0 * * *""",cron schedule field
Project,Impure,Application,Immutable,ReadModel,Organization,thread_safe,False,,sphere_frozen,54.1%,Organization,Aggregates,ReadModel,sphere + transparent,UserDashboardView,"only queries, no behavior"
Project,Impure,Infrastructure,Singleton,FeatureModule,Organization,"technical_details,shared_state",False,,dodecahedron_crown,36.0%,Organization,Modules,FeatureModule,dodecahedron + colored face,auth.module.ts,feature folder
Project,Impure,Infrastructure,Scoped,BackgroundThread,Execution,technical_details,False,,icosahedron,33.3%,Execution,Executables,BackgroundThread,icosahedron + thread spiral,threading.Thread(target=...),spawn thread
Project,Impure,Infrastructure,Transient,ImpureFunction,Logic & Flow,technical_details,False,,octahedron,56.5%,Logic & Flow,Functions,ImpureFunction,octahedron + rough,saveToDB(),I/O or mutation
Project,Impure,Infrastructure,Ephemeral,WebSocketHandler,Execution,technical_details,False,,icosahedron_fade,66.7%,Execution,Executables,WebSocketHandler,icosahedron + wave,@socket.on('message'),websocket event
Project,Impure,Infrastructure,Immutable,CacheWarmer,Execution,"technical_details,thread_safe",False,,icosahedron_frozen,42.4%,Execution,Executables,CacheWarmer,icosahedron + fire,preload cache on startup,cache preload loop
Project,Impure,Adapter,Singleton,BitMask,Data Foundations,shared_state,False,,tetrahedron_crown,56.2%,Data Foundations,Bits,BitMask,tetrahedron + mask overlay,mode = 0b1010,binary literal
Project,Impure,Adapter,Scoped,SeedData,Execution,,False,,icosahedron,56.5%,Execution,Executables,SeedData,icosahedron + seed icon,rails db:seed,seed file execution
Project,Impure,Adapter,Transient,WorkerEntry,Execution,,False,,icosahedron,35.2%,Execution,Executables,WorkerEntry,icosahedron + gear,consume('queue'),background worker
Project,Impure,Adapter,Ephemeral,ExpressionStmt,Logic & Flow,,False,,cube_fade,58.4%,Logic & Flow,Statements,ExpressionStmt,cube + neutral,logger.info(...),standalone call
Project,Impure,Adapter,Immutable,MetricsExporter,Execution,thread_safe,False,,icosahedron_frozen,33.4%,Execution,Executables,MetricsExporter,icosahedron + graph icon,prometheus_client.start_http_server,metrics library init
Project,Impure,Interface,Singleton,IfBranch,Logic & Flow,shared_state,False,,torus_crown,52.4%,Logic & Flow,Control Structures,IfBranch,torus + split,if user.is_admin,if/else
Project,Impure,Interface,Scoped,LoopFor,Logic & Flow,,False,,torus,55.7%,Logic & Flow,Control Structures,LoopFor,torus + rotating,for item in list,for loop
Project,Impure,Interface,Transient,InfrastructureAdapter,Organization,,False,,dodecahedron,43.1%,Organization,Modules,InfrastructureAdapter,dodecahedron + plug,PostgresUserRepository,implements port
Project,Impure,Interface,Ephemeral,ConfigFile,Organization,,False,,cube_fade,35.1%,Organization,Files,ConfigFile,cube + gear,config.yaml,config/extension
Project,Impure,Interface,Immutable,Validator,Logic & Flow,thread_safe,False,,octahedron_frozen,58.1%,Logic & Flow,Functions,Validator,octahedron + shield,"validate(schema, data)",throws on invalid
Project,Impure,Test,Singleton,QueueWorker,Execution,shared_state,False,,icosahedron_crown,67.9%,Execution,Executables,QueueWorker,icosahedron + gear + queue arrow,worker.process(job),loop + queue.pop
Project,Impure,Test,Scoped,Middleware,Logic & Flow,,False,,octahedron,69.9%,Logic & Flow,Functions,Middleware,octahedron + layered,authMiddleware,next()/await next
Project,Impure,Test,Transient,EnumValue,Data Foundations,,False,,icosahedron,66.5%,Data Foundations,Primitives,EnumValue,icosahedron + colored ring,Status::Active,enum variant access
Project,Impure,Test,Ephemeral,Coroutine,Execution,,False,,icosahedron_fade,33.7%,Execution,Executables,Coroutine,icosahedron + wave pattern,async def task(),async def / async function
Project,Impure,Test,Immutable,ByteArray,Data Foundations,thread_safe,False,,cube_frozen,56.8%,Data Foundations,Bytes,ByteArray,cube + grid texture,buf = bytearray(256),bytearray / Buffer.alloc
Project,Idempotent,Domain,Singleton,Assignment,Logic & Flow,"shared_state,business_rules",False,,cube_crown,50.3%,Logic & Flow,Statements,Assignment,cube + arrow in,x = y,= operator
Project,Idempotent,Domain,Scoped,Entity,Organization,"identity,business_rules,state",False,,sphere,75.4%,Organization,Aggregates,Entity,sphere + glowing core,"User, Order",has identity (ID field)
Project,Idempotent,Domain,Transient,SwitchCase,Logic & Flow,business_rules,False,,torus,42.4%,Logic & Flow,Control Structures,SwitchCase,torus + multi-ring,match action,switch/match
Project,Idempotent,Domain,Ephemeral,Factory,Organization,"lifecycle,business_rules,creation,coordination",False,,sphere_fade,78.5%,Organization,Aggregates,Factory,sphere + spark,UserFactory.create(...),static create method
Project,Idempotent,Domain,Immutable,PureFunction,Logic & Flow,"thread_safe,business_rules",False,,octahedron_frozen,43.7%,Logic & Flow,Functions,PureFunction,octahedron + smooth,"add(a,b) => a+b",no side effects detectable
Project,Idempotent,Application,Singleton,Float,Data Foundations,shared_state,False,,icosahedron_crown,60.6%,Data Foundations,Primitives,Float,icosahedron + soft glow,price: f64,float type
Project,Idempotent,Application,Scoped,StringLiteral,Data Foundations,,False,,icosahedron,37.7%,Data Foundations,Primitives,StringLiteral,icosahedron + text wrap,"""user-123""",string literal
Project,Idempotent,Application,Transient,MessageConsumer,Execution,,False,,icosahedron,70.0%,Execution,Executables,MessageConsumer,icosahedron + rabbit/kafka icon,"@KafkaListener, channel.bind",annotation com Listener
Project,Idempotent,Application,Ephemeral,GracefulShutdown,Execution,,False,,icosahedron_fade,36.2%,Execution,Executables,GracefulShutdown,icosahedron + soft glow fade,server.shutdown() on SIGTERM,signal handler
Project,Idempotent,Application,Immutable,Parameter,Foundations,thread_safe,False,,cylinder_frozen,41.8%,Foundations,Variables,Parameter,cylinder + arrow tip,fn process(id: UUID),function parameter
Project,Idempotent,Infrastructure,Singleton,LambdaEntry,Execution,"technical_details,shared_state",False,,icosahedron_crown,25.8%,Execution,Executables,LambdaEntry,icosahedron + cloud,exports.handler,AWS Lambda pattern
Project,Idempotent,Infrastructure,Scoped,LoopWhile,Logic & Flow,technical_details,False,,torus,50.3%,Logic & Flow,Control Structures,LoopWhile,torus + pulsing,while running,while loop
Project,Idempotent,Infrastructure,Transient,HealthCheck,Execution,technical_details,False,,icosahedron,51.6%,Execution,Executables,HealthCheck,icosahedron + heartbeat,GET /healthz,route name contains health
Project,Idempotent,Infrastructure,Ephemeral,KubernetesJob,Execution,technical_details,False,,icosahedron_fade,24.8%,Execution,Executables,KubernetesJob,icosahedron + helm icon,kind: Job em YAML,Kubernetes manifest + spec.job
Project,Idempotent,Infrastructure,Immutable,InstanceField,Foundations,"technical_details,thread_safe",False,,cylinder_frozen,51.1%,Foundations,Variables,InstanceField,cylinder + medium,this.balance,this/self field access
Project,Idempotent,Adapter,Singleton,MigrationFile,Organization,shared_state,False,,cube_crown,56.5%,Organization,Files,MigrationFile,cube + arrow up,2024_add_users.rb,migration pattern
Project,Idempotent,Adapter,Scoped,BitFlag,Data Foundations,,False,,tetrahedron,65.1%,Data Foundations,Bits,BitFlag,tetrahedron + glow bit,flags & MASK_ADMIN,bit operation + constant mask
Project,Idempotent,Adapter,Transient,CLIEntry,Execution,,False,,icosahedron,54.7%,Execution,Executables,CLIEntry,icosahedron + terminal,@click.command,CLI decorator
Project,Idempotent,Adapter,Ephemeral,CircuitBreakerInit,Execution,,False,,icosahedron_fade,53.9%,Execution,Executables,CircuitBreakerInit,icosahedron + broken chain,hystrix.Go(),circuit breaker lib
Project,Idempotent,Adapter,Immutable,AggregateRoot,Organization,"identity,thread_safe,state",False,,sphere_frozen,36.2%,Organization,Aggregates,AggregateRoot,sphere + gold crown,Order with business invariants,raises domain events
Project,Idempotent,Interface,Singleton,RateLimiter,Execution,shared_state,False,,icosahedron_crown,37.2%,Execution,Executables,RateLimiter,icosahedron + hourglass,limiter.Allow(),rate limit call
Project,Idempotent,Interface,Scoped,SelfHealingProbe,Execution,,False,,icosahedron,10.7%,Execution,Executables,SelfHealingProbe,icosahedron + healing glow,liveness probe that restarts,liveness + restartPolicy
Project,Idempotent,Interface,Transient,AsyncFunction,Logic & Flow,,False,,octahedron,55.0%,Logic & Flow,Functions,AsyncFunction,octahedron + orbit ring,async fetchData(),async/await or Promise
Project,Idempotent,Interface,Ephemeral,Mapper,Logic & Flow,,False,,octahedron_fade,66.1%,Logic & Flow,Functions,Mapper,octahedron + arrow chain,toDto(entity),*To*/Map*/Convert
Project,Idempotent,Interface,Immutable,DomainPort,Organization,thread_safe,False,,dodecahedron_frozen,58.8%,Organization,Modules,DomainPort,dodecahedron + socket,UserRepository interface,interface + domain name
Project,Idempotent,Test,Singleton,BoundedContext,Organization,shared_state,False,,dodecahedron_crown,31.7%,Organization,Modules,BoundedContext,dodecahedron + thick border,"billing/, identity/",own folder + own models
Project,Idempotent,Test,Scoped,ApplicationPort,Organization,,False,,dodecahedron,44.6%,Organization,Modules,ApplicationPort,dodecahedron + arrow,UserService interface,used by use cases
Project,Idempotent,Test,Transient,GlobalVar,Foundations,,False,,cylinder,58.8%,Foundations,Variables,GlobalVar,cylinder + glowing,GLOBAL_CACHE,module-level mutable
Project,Idempotent,Test,Ephemeral,FeatureFlagCheck,Execution,,False,,icosahedron_fade,68.8%,Execution,Executables,FeatureFlagCheck,icosahedron + toggle,"fflag.Enabled(""new-ui"")",feature flag check
Project,Idempotent,Test,Immutable,LoggerInit,Execution,thread_safe,False,,icosahedron_frozen,54.4%,Execution,Executables,LoggerInit,icosahedron + log icon,logging.basicConfig,global logger setup
Project,ExternalIO,Domain,Singleton,CommandHandler,Logic & Flow,"mutation,business_logic,coordination,shared_state,business_rules,side_effects",False,,octahedron_glowing+crown,42.6%,Logic & Flow,Functions,CommandHandler,octahedron + gold ring,handle(CreateUserCommand),name contains Handle + Command
Project,ExternalIO,Domain,Scoped,Generator,Logic & Flow,"business_rules,side_effects",False,,octahedron_glowing,61.4%,Logic & Flow,Functions,Generator,octahedron + spiral,function* ids(),yield keyword
Project,ExternalIO,Domain,Transient,MigrationRunner,Execution,"business_rules,side_effects",False,,icosahedron_glowing,39.4%,Execution,Executables,MigrationRunner,icosahedron + database + arrow up,flask-migrate upgrade,migration command
Project,ExternalIO,Domain,Ephemeral,ChaosMonkey,Execution,"business_rules,side_effects",False,,icosahedron_glowing+fade,4.3%,Execution,Executables,ChaosMonkey,icosahedron + monkey face,random failure injection,chaos library
Project,ExternalIO,Domain,Immutable,Integer,Data Foundations,"thread_safe,business_rules,side_effects",False,,icosahedron_glowing+frozen,68.6%,Data Foundations,Primitives,Integer,icosahedron + metallic,count: i64,integer type
Project,ExternalIO,Application,Singleton,APIHandler,Execution,"shared_state,side_effects",False,,icosahedron_glowing+crown,61.4%,Execution,Executables,APIHandler,icosahedron + globe,"@app.get(""/users"")",route decorator
Project,ExternalIO,Application,Scoped,StaticField,Foundations,side_effects,False,,cylinder_glowing,66.2%,Foundations,Variables,StaticField,cylinder + tall,Config.MAX_RETRIES,static/class field
Project,ExternalIO,Application,Transient,DependencyInjectionContainer,Execution,side_effects,False,,icosahedron_glowing,37.8%,Execution,Executables,DependencyInjectionContainer,icosahedron + syringe,services.AddSingleton<>,DI container registration
Project,ExternalIO,Application,Ephemeral,ArithmeticExpr,Logic & Flow,side_effects,False,,cone_glowing+fade,57.1%,Logic & Flow,Expressions,ArithmeticExpr,cone + orange glow,a + b * c,arithmetic ops
Project,ExternalIO,Application,Immutable,ReturnStmt,Logic & Flow,"thread_safe,side_effects",False,,cube_glowing+frozen,52.8%,Logic & Flow,Statements,ReturnStmt,cube + arrow up,return result,return keyword
Project,ExternalIO,Infrastructure,Singleton,Closure,Logic & Flow,"technical_details,shared_state,side_effects",False,,octahedron_glowing+crown,47.6%,Logic & Flow,Functions,Closure,octahedron + inner glow,items.map(x => x*2),captures outer scope
Project,ExternalIO,Infrastructure,Scoped,EventHandler,Logic & Flow,"technical_details,side_effects",False,,octahedron_glowing,60.8%,Logic & Flow,Functions,EventHandler,octahedron + pulse,@Subscribe(UserCreated),@On/@Subscribe decorator
Project,ExternalIO,Infrastructure,Transient,ValueObject,Organization,"technical_details,equality,immutability,validation,side_effects",False,,sphere_glowing,90.6%,Organization,Aggregates,ValueObject,sphere + crystalline,"Email, Money",immutable + equality by value
Project,ExternalIO,Infrastructure,Ephemeral,Boolean,Data Foundations,"technical_details,side_effects",False,,icosahedron_glowing+fade,50.1%,Data Foundations,Primitives,Boolean,icosahedron + binary glow,is_active: bool,type bool
Project,ExternalIO,Infrastructure,Immutable,CallExpr,Logic & Flow,"technical_details,thread_safe,side_effects",False,,cone_glowing+frozen,46.7%,Logic & Flow,Expressions,CallExpr,cone + arrow out,service.save(user),function call
Project,ExternalIO,Adapter,Singleton,TestFile,Organization,"shared_state,side_effects",False,,cube_glowing+crown,36.5%,Organization,Files,TestFile,cube + check,user.test.ts,test/jest/spec
Project,ExternalIO,Adapter,Scoped,Actor,Execution,side_effects,False,,icosahedron_glowing,38.0%,Execution,Executables,Actor,icosahedron + envelope,"class MyActor(Actor) (Akka, Orleans)",herda de Actor
Project,ExternalIO,Adapter,Transient,TryCatch,Logic & Flow,side_effects,False,,torus_glowing,54.2%,Logic & Flow,Control Structures,TryCatch,torus + shield,try { ... } catch,try/except
Project,ExternalIO,Adapter,Ephemeral,MainEntry,Execution,side_effects,False,,icosahedron_glowing+fade,64.9%,Execution,Executables,MainEntry,icosahedron + crown,"main(), if __name__",entry point
Project,ExternalIO,Adapter,Immutable,QueryHandler,Logic & Flow,"optimization,read_access,thread_safe,projection,side_effects",False,,octahedron_glowing+frozen,21.6%,Logic & Flow,Functions,QueryHandler,octahedron + blue ring,handle(GetUserQuery),name contains Handle + Query
Project,ExternalIO,Interface,Singleton,GraphQLResolver,Execution,"shared_state,side_effects",False,,icosahedron_glowing+crown,49.2%,Execution,Executables,GraphQLResolver,icosahedron + graph,Query: { user },GraphQL field
Project,ExternalIO,Interface,Scoped,LocalVar,Foundations,side_effects,False,,cylinder_glowing,44.8%,Foundations,Variables,LocalVar,cylinder + short,let total = 0;,local declaration
Project,ExternalIO,Interface,Transient,SourceFile,Organization,side_effects,False,,cube_glowing,67.4%,Organization,Files,SourceFile,cube + language icon,user.py,.py/.ts/.java
Project,ExternalIO,Interface,Ephemeral,ContainerEntry,Execution,side_effects,False,,icosahedron_glowing+fade,58.5%,Execution,Executables,ContainerEntry,icosahedron + docker logo overlay,"CMD [""node"",""app.js""] em Dockerfile",Dockerfile ENTRYPOINT/CMD
Project,ExternalIO,Interface,Immutable,DTO,Organization,"thread_safe,side_effects",False,,sphere_glowing+frozen,50.6%,Organization,Aggregates,DTO,sphere + flat,CreateUserRequest,"only data, no behavior"
Project,ExternalIO,Test,Singleton,LiteralExpr,Logic & Flow,"shared_state,side_effects",False,,cone_glowing+crown,35.0%,Logic & Flow,Expressions,LiteralExpr,cone + solid,"42, ""hello""",literal
Project,ExternalIO,Test,Scoped,ConfigLoader,Execution,side_effects,False,,icosahedron_glowing,33.4%,Execution,Executables,ConfigLoader,icosahedron + config gear,viper.ReadInConfig(),config load call
Project,ExternalIO,Test,Transient,CronJob,Execution,side_effects,False,,icosahedron_glowing,36.4%,Execution,Executables,CronJob,icosahedron + clock ring,"schedule: ""0 0 * * *""",cron schedule field
Project,ExternalIO,Test,Ephemeral,ReadModel,Organization,side_effects,False,,sphere_glowing+fade,48.0%,Organization,Aggregates,ReadModel,sphere + transparent,UserDashboardView,"only queries, no behavior"
Project,ExternalIO,Test,Immutable,FeatureModule,Organization,"thread_safe,side_effects",False,,dodecahedron_glowing+frozen,50.5%,Organization,Modules,FeatureModule,dodecahedron + colored face,auth.module.ts,feature folder
Search,Pure,Domain,Singleton,BackgroundThread,Execution,"deterministic,shared_state,business_rules",False,,icosahedron_crystalline+crown,69.2%,Execution,Executables,BackgroundThread,icosahedron + thread spiral,threading.Thread(target=...),spawn thread
Search,Pure,Domain,Scoped,ImpureFunction,Logic & Flow,"deterministic,business_rules",False,,octahedron_crystalline,79.6%,Logic & Flow,Functions,ImpureFunction,octahedron + rough,saveToDB(),I/O or mutation
Search,Pure,Domain,Transient,WebSocketHandler,Execution,"deterministic,business_rules",False,,icosahedron_crystalline,79.7%,Execution,Executables,WebSocketHandler,icosahedron + wave,@socket.on('message'),websocket event
Search,Pure,Domain,Ephemeral,CacheWarmer,Execution,"deterministic,business_rules",False,,icosahedron_crystalline+fade,55.6%,Execution,Executables,CacheWarmer,icosahedron + fire,preload cache on startup,cache preload loop
Search,Pure,Domain,Immutable,BitMask,Data Foundations,"deterministic,thread_safe,business_rules",False,,tetrahedron_crystalline+frozen,53.8%,Data Foundations,Bits,BitMask,tetrahedron + mask overlay,mode = 0b1010,binary literal
Search,Pure,Application,Singleton,SeedData,Execution,"deterministic,shared_state",False,,icosahedron_crystalline+crown,33.3%,Execution,Executables,SeedData,icosahedron + seed icon,rails db:seed,seed file execution
Search,Pure,Application,Scoped,WorkerEntry,Execution,deterministic,False,,icosahedron_crystalline,39.0%,Execution,Executables,WorkerEntry,icosahedron + gear,consume('queue'),background worker
Search,Pure,Application,Transient,ExpressionStmt,Logic & Flow,deterministic,False,,cube_crystalline,42.7%,Logic & Flow,Statements,ExpressionStmt,cube + neutral,logger.info(...),standalone call
Search,Pure,Application,Ephemeral,MetricsExporter,Execution,deterministic,False,,icosahedron_crystalline+fade,34.0%,Execution,Executables,MetricsExporter,icosahedron + graph icon,prometheus_client.start_http_server,metrics library init
Search,Pure,Application,Immutable,IfBranch,Logic & Flow,"deterministic,thread_safe",False,,torus_crystalline+frozen,58.6%,Logic & Flow,Control Structures,IfBranch,torus + split,if user.is_admin,if/else
Search,Pure,Infrastructure,Singleton,LoopFor,Logic & Flow,"deterministic,technical_details,shared_state",False,,torus_crystalline+crown,43.4%,Logic & Flow,Control Structures,LoopFor,torus + rotating,for item in list,for loop
Search,Pure,Infrastructure,Scoped,InfrastructureAdapter,Organization,"deterministic,technical_details",False,,dodecahedron_crystalline,35.8%,Organization,Modules,InfrastructureAdapter,dodecahedron + plug,PostgresUserRepository,implements port
Search,Pure,Infrastructure,Transient,ConfigFile,Organization,"deterministic,technical_details",False,,cube_crystalline,31.5%,Organization,Files,ConfigFile,cube + gear,config.yaml,config/extension
Search,Pure,Infrastructure,Ephemeral,Validator,Logic & Flow,"deterministic,technical_details",False,,octahedron_crystalline+fade,66.7%,Logic & Flow,Functions,Validator,octahedron + shield,"validate(schema, data)",throws on invalid
Search,Pure,Infrastructure,Immutable,QueueWorker,Execution,"deterministic,technical_details,thread_safe",False,,icosahedron_crystalline+frozen,48.9%,Execution,Executables,QueueWorker,icosahedron + gear + queue arrow,worker.process(job),loop + queue.pop
Search,Pure,Adapter,Singleton,Middleware,Logic & Flow,"deterministic,shared_state",False,,octahedron_crystalline+crown,63.2%,Logic & Flow,Functions,Middleware,octahedron + layered,authMiddleware,next()/await next
Search,Pure,Adapter,Scoped,EnumValue,Data Foundations,deterministic,False,,icosahedron_crystalline,60.4%,Data Foundations,Primitives,EnumValue,icosahedron + colored ring,Status::Active,enum variant access
Search,Pure,Adapter,Transient,Coroutine,Execution,deterministic,False,,icosahedron_crystalline,48.8%,Execution,Executables,Coroutine,icosahedron + wave pattern,async def task(),async def / async function
Search,Pure,Adapter,Ephemeral,ByteArray,Data Foundations,deterministic,False,,cube_crystalline+fade,54.6%,Data Foundations,Bytes,ByteArray,cube + grid texture,buf = bytearray(256),bytearray / Buffer.alloc
Search,Pure,Adapter,Immutable,Assignment,Logic & Flow,"deterministic,thread_safe",False,,cube_crystalline+frozen,66.2%,Logic & Flow,Statements,Assignment,cube + arrow in,x = y,= operator
Search,Pure,Interface,Singleton,Entity,Organization,"deterministic,identity,shared_state,state",True,"Entity has state, cannot be pure",sphere_black_hole,0.0%,Organization,Aggregates,Entity,sphere + glowing core,"User, Order",has identity (ID field)
Search,Pure,Interface,Scoped,SwitchCase,Logic & Flow,deterministic,False,,torus_crystalline,30.8%,Logic & Flow,Control Structures,SwitchCase,torus + multi-ring,match action,switch/match
Search,Pure,Interface,Transient,Factory,Organization,"deterministic,lifecycle,creation,coordination",False,,sphere_crystalline,56.5%,Organization,Aggregates,Factory,sphere + spark,UserFactory.create(...),static create method
Search,Pure,Interface,Ephemeral,PureFunction,Logic & Flow,deterministic,False,,octahedron_crystalline+fade,36.0%,Logic & Flow,Functions,PureFunction,octahedron + smooth,"add(a,b) => a+b",no side effects detectable
Search,Pure,Interface,Immutable,Float,Data Foundations,"deterministic,thread_safe",False,,icosahedron_crystalline+frozen,67.6%,Data Foundations,Primitives,Float,icosahedron + soft glow,price: f64,float type
Search,Pure,Test,Singleton,StringLiteral,Data Foundations,"deterministic,shared_state",False,,icosahedron_crystalline+crown,54.4%,Data Foundations,Primitives,StringLiteral,icosahedron + text wrap,"""user-123""",string literal
Search,Pure,Test,Scoped,MessageConsumer,Execution,deterministic,False,,icosahedron_crystalline,46.9%,Execution,Executables,MessageConsumer,icosahedron + rabbit/kafka icon,"@KafkaListener, channel.bind",annotation com Listener
Search,Pure,Test,Transient,GracefulShutdown,Execution,deterministic,False,,icosahedron_crystalline,61.0%,Execution,Executables,GracefulShutdown,icosahedron + soft glow fade,server.shutdown() on SIGTERM,signal handler
Search,Pure,Test,Ephemeral,Parameter,Foundations,deterministic,False,,cylinder_crystalline+fade,39.5%,Foundations,Variables,Parameter,cylinder + arrow tip,fn process(id: UUID),function parameter
Search,Pure,Test,Immutable,LambdaEntry,Execution,"deterministic,thread_safe",False,,icosahedron_crystalline+frozen,12.4%,Execution,Executables,LambdaEntry,icosahedron + cloud,exports.handler,AWS Lambda pattern
Search,Impure,Domain,Singleton,LoopWhile,Logic & Flow,"shared_state,business_rules",False,,torus_crown,39.5%,Logic & Flow,Control Structures,LoopWhile,torus + pulsing,while running,while loop
Search,Impure,Domain,Scoped,HealthCheck,Execution,business_rules,False,,icosahedron,55.6%,Execution,Executables,HealthCheck,icosahedron + heartbeat,GET /healthz,route name contains health
Search,Impure,Domain,Transient,KubernetesJob,Execution,business_rules,False,,icosahedron,22.5%,Execution,Executables,KubernetesJob,icosahedron + helm icon,kind: Job em YAML,Kubernetes manifest + spec.job
Search,Impure,Domain,Ephemeral,InstanceField,Foundations,business_rules,False,,cylinder_fade,32.5%,Foundations,Variables,InstanceField,cylinder + medium,this.balance,this/self field access
Search,Impure,Domain,Immutable,MigrationFile,Organization,"thread_safe,business_rules",False,,cube_frozen,63.5%,Organization,Files,MigrationFile,cube + arrow up,2024_add_users.rb,migration pattern
Search,Impure,Application,Singleton,BitFlag,Data Foundations,shared_state,False,,tetrahedron_crown,50.0%,Data Foundations,Bits,BitFlag,tetrahedron + glow bit,flags & MASK_ADMIN,bit operation + constant mask
Search,Impure,Application,Scoped,CLIEntry,Execution,,False,,icosahedron,51.4%,Execution,Executables,CLIEntry,icosahedron + terminal,@click.command,CLI decorator
